Name,Comment,Likes,Reply_Count,Time,date,hour,month,Tokenize,stemmed,compound,neg,neu,pos,polarity,subjectivity,empath_score,Reply_Class,Like_Class,sentiment_status
Soumik Bera,5 42 when ayush mail s barkha good morning whatsapp be like mai kya kru job chod du phir,0,0,2021-09-12T13:20:21Z,12,13,9,"['5', '42', 'when', 'ayush', 'mail', 's', 'barkha', 'good', 'morning', 'whatsapp', 'be', 'like', 'mai', 'kya', 'kru', 'job', 'chod', 'du', 'phir']","['5', '42', 'when', 'ayush', 'mail', 's', 'barkha', 'good', 'morn', 'whatsapp', 'be', 'like', 'mai', 'kya', 'kru', 'job', 'chod', 'du', 'phir']",0.6597,0.0,0.735,0.265,0.7,0.6,0.6842105262999999,0,0,neu
Nagendra M D,so innocent ayush i m also somewhere like him,0,0,2021-09-10T16:20:20Z,10,16,9,"['so', 'innocent', 'ayush', 'i', 'm', 'also', 'somewhere', 'like', 'him']","['so', 'innoc', 'ayush', 'i', 'm', 'also', 'somewher', 'like', 'him']",0.6361,0.0,0.491,0.509,0.5,0.7,0.3333333333,0,0,pos
Adarsh Yadav,i want to see ayush and barkha together a one more time,0,0,2021-09-01T14:54:11Z,1,14,9,"['i', 'want', 'to', 'see', 'ayush', 'and', 'barkha', 'together', 'a', 'one', 'more', 'time']","['i', 'want', 'to', 'see', 'ayush', 'and', 'barkha', 'togeth', 'a', 'one', 'more', 'time']",0.0772,0.0,0.8740000000000001,0.126,0.5,0.5,0.0,0,0,neu
Rachana L,literally barkha and ayush will make a good pair i like all series of them together,1,0,2021-08-24T05:00:37Z,24,5,8,"['literally', 'barkha', 'and', 'ayush', 'will', 'make', 'a', 'good', 'pair', 'i', 'like', 'all', 'series', 'of', 'them', 'together']","['liter', 'barkha', 'and', 'ayush', 'will', 'make', 'a', 'good', 'pair', 'i', 'like', 'all', 'seri', 'of', 'them', 'togeth']",0.6597,0.0,0.69,0.31,0.7,0.6,0.125,0,1,neu
Ronit Birla,ayush enjoying his own song lol xd,0,0,2021-08-24T05:00:37Z,24,5,8,"['ayush', 'enjoying', 'his', 'own', 'song', 'lol', 'xd']","['ayush', 'enjoy', 'his', 'own', 'song', 'lol', 'xd']",0.875,0.0,0.28600000000000003,0.7140000000000001,0.6333333333,0.7666666667,0.8571428570999999,0,0,pos
Sejal Chaudhary,barkha and ayush together looking so cute,1,0,2021-08-21T10:16:54Z,21,10,8,"['barkha', 'and', 'ayush', 'together', 'looking', 'so', 'cute']","['barkha', 'and', 'ayush', 'togeth', 'look', 'so', 'cute']",0.5949,0.0,0.608,0.392,0.5,1.0,0.8571428570999999,0,1,neu
CR MOTIONS,here s a teaser of ayush mehra and barkha singh i m sure you re gonna like this atleast give this a viewhttps youtu be xjmqxrpo08m,0,0,2021-08-14T05:39:01Z,14,5,8,"['here', 's', 'a', 'teaser', 'of', 'ayush', 'mehra', 'and', 'barkha', 'singh', 'i', 'm', 'sure', 'you', 're', 'gon', 'na', 'like', 'this', 'atleast', 'give', 'this', 'a', 'viewhttps', 'youtu', 'be', 'xjmqxrpo08m']","['here', 's', 'a', 'teaser', 'of', 'ayush', 'mehra', 'and', 'barkha', 'singh', 'i', 'm', 'sure', 'you', 're', 'gon', 'na', 'like', 'this', 'atleast', 'give', 'this', 'a', 'viewhttp', 'youtu', 'be', 'xjmqxrpo08m']",0.4215,0.081,0.726,0.19399999999999998,0.5,0.8888888889,0.03846153846000001,0,0,neu
Pa Yel,ayush is so sweet and melty,0,0,2021-07-27T11:07:44Z,27,11,7,"['ayush', 'is', 'so', 'sweet', 'and', 'melty']","['ayush', 'is', 'so', 'sweet', 'and', 'melti']",0.5949,0.0,0.564,0.436,0.35,0.65,0.1666666667,0,0,neu
Mahipal Singh,amazing chemistry of barkha and ayush,0,0,2021-07-20T12:30:08Z,20,12,7,"['amazing', 'chemistry', 'of', 'barkha', 'and', 'ayush']","['amaz', 'chemistri', 'of', 'barkha', 'and', 'ayush']",0.5859,0.0,0.568,0.43200000000000005,0.6,0.9,0.5,0,0,neu
Srushti Bodake,literally nobody legend aayush mehra singing song of nishant as shaurya,16,0,2021-07-17T03:09:56Z,17,3,7,"['literally', 'nobody', 'legend', 'aayush', 'mehra', 'singing', 'song', 'of', 'nishant', 'as', 'shaurya']","['liter', 'nobodi', 'legend', 'aayush', 'mehra', 'sing', 'song', 'of', 'nishant', 'as', 'shaurya']",0.0,0.0,1.0,0.0,0.0,0.0,1.181818182,0,1,neu
ARR Shravya,the song ayush mehra was singing was from operation mbbs,2,1,2021-07-12T06:23:50Z,12,6,7,"['the', 'song', 'ayush', 'mehra', 'was', 'singing', 'was', 'from', 'operation', 'mbbs']","['the', 'song', 'ayush', 'mehra', 'was', 'sing', 'was', 'from', 'oper', 'mbbs']",0.0,0.0,1.0,0.0,0.0,0.0,1.2,1,1,neu
mime me,ayush and barkha can be the best couples,0,0,2021-07-11T08:04:23Z,11,8,7,"['ayush', 'and', 'barkha', 'can', 'be', 'the', 'best', 'couples']","['ayush', 'and', 'barkha', 'can', 'be', 'the', 'best', 'coupl']",0.6369,0.0,0.625,0.375,1.0,0.3,0.25,0,0,neu
Saanchi Bhatt,ayush and barkha just nailed that last sceneand also the way the song kachche dhaage plays is just so beautiful the entire scene is heartwarming,34,0,2021-06-30T03:55:01Z,30,3,6,"['ayush', 'and', 'barkha', 'just', 'nailed', 'that', 'last', 'sceneand', 'also', 'the', 'way', 'the', 'song', 'kachche', 'dhaage', 'plays', 'is', 'just', 'so', 'beautiful', 'the', 'entire', 'scene', 'is', 'heartwarming']","['ayush', 'and', 'barkha', 'just', 'nail', 'that', 'last', 'sceneand', 'also', 'the', 'way', 'the', 'song', 'kachch', 'dhaag', 'play', 'is', 'just', 'so', 'beauti', 'the', 'entir', 'scene', 'is', 'heartwarm']",0.8776,0.0,0.6859999999999999,0.314,0.2833333333,0.5638888889,0.4,0,1,neu
Yash Kukreja,i am just love with series watched each episode of both season many times i really want to meet ayush and barkha not know whats happening to me there are some scenes which are just touching my heart love you guys,0,0,2021-06-30T03:55:01Z,30,3,6,"['i', 'am', 'just', 'love', 'with', 'series', 'watched', 'each', 'episode', 'of', 'both', 'season', 'many', 'times', 'i', 'really', 'want', 'to', 'meet', 'ayush', 'and', 'barkha', 'not', 'know', 'whats', 'happening', 'to', 'me', 'there', 'are', 'some', 'scenes', 'which', 'are', 'just', 'touching', 'my', 'heart', 'love', 'you', 'guys']","['i', 'am', 'just', 'love', 'with', 'seri', 'watch', 'each', 'episod', 'of', 'both', 'season', 'mani', 'time', 'i', 'realli', 'want', 'to', 'meet', 'ayush', 'and', 'barkha', 'not', 'know', 'what', 'happen', 'to', 'me', 'there', 'are', 'some', 'scene', 'which', 'are', 'just', 'touch', 'my', 'heart', 'love', 'you', 'guy']",0.8748,0.0,0.7829999999999999,0.217,0.44,0.48,0.3658536585,0,0,neu
Sneho Sarkey,ayush mehra is too handsome,0,0,2021-06-29T18:35:46Z,29,18,6,"['ayush', 'mehra', 'is', 'too', 'handsome']","['ayush', 'mehra', 'is', 'too', 'handsom']",0.4939,0.0,0.556,0.444,0.5,1.0,0.6,0,0,neu
Niraj Kumar,what is the name of the first song that ayush was listening,0,0,2021-06-29T18:35:46Z,29,18,6,"['what', 'is', 'the', 'name', 'of', 'the', 'first', 'song', 'that', 'ayush', 'was', 'listening']","['what', 'is', 'the', 'name', 'of', 'the', 'first', 'song', 'that', 'ayush', 'was', 'listen']",0.0,0.0,1.0,0.0,0.25,0.3333333333,0.6666666667,0,0,neu
Ashish Sarawagi,only over actingayush,0,0,2021-06-29T09:34:43Z,29,9,6,"['only', 'over', 'actingayush']","['onli', 'over', 'actingayush']",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,neu
Priyankur Singh,ayush and barkha is the best fuckin combo in every web series,0,0,2021-06-27T10:33:52Z,27,10,6,"['ayush', 'and', 'barkha', 'is', 'the', 'best', 'fuckin', 'combo', 'in', 'every', 'web', 'series']","['ayush', 'and', 'barkha', 'is', 'the', 'best', 'fuckin', 'combo', 'in', 'everi', 'web', 'seri']",0.6369,0.0,0.7240000000000001,0.276,1.0,0.3,0.5833333333,0,0,neu
Dhanashree Karambe,ayush n barkha are the best n the sweetest couple of youtube love them forever,3,0,2021-06-25T08:42:37Z,25,8,6,"['ayush', 'n', 'barkha', 'are', 'the', 'best', 'n', 'the', 'sweetest', 'couple', 'of', 'youtube', 'love', 'them', 'forever']","['ayush', 'n', 'barkha', 'are', 'the', 'best', 'n', 'the', 'sweetest', 'coupl', 'of', 'youtub', 'love', 'them', 'forev']",0.8555,0.0,0.5670000000000001,0.433,0.75,0.45,0.4666666667,0,1,neu
Shania Parveen Parveen,ayush is so cute,1,0,2021-06-18T18:58:28Z,18,18,6,"['ayush', 'is', 'so', 'cute']","['ayush', 'is', 'so', 'cute']",0.5949,0.0,0.43700000000000006,0.563,0.5,1.0,1.0,0,1,pos
Girisha Mangla,19 12that haww moment by ayush so adorable,2,0,2021-06-18T18:58:28Z,18,18,6,"['19', '12that', 'haww', 'moment', 'by', 'ayush', 'so', 'adorable']","['19', '12that', 'haww', 'moment', 'by', 'ayush', 'so', 'ador']",0.6269,0.0,0.63,0.37,0.5,1.0,0.25,0,1,neu
Rennuga Kannan,plssssss more of barkha n ayush,0,0,2021-06-03T22:32:15Z,3,22,6,"['plssssss', 'more', 'of', 'barkha', 'n', 'ayush']","['plssssss', 'more', 'of', 'barkha', 'n', 'ayush']",0.0,0.0,1.0,0.0,0.5,0.5,0.0,0,0,neu
Riya Das Roll 53,ayush barkha awesome couple,7,0,2021-05-26T15:21:37Z,26,15,5,"['ayush', 'barkha', 'awesome', 'couple']","['ayush', 'barkha', 'awesom', 'coupl']",0.6249,0.0,0.423,0.5770000000000001,1.0,1.0,0.0,0,1,pos
Tejaswini Natarajan,i kind of imploded internally when i saw ayushs abs ngl,0,0,2021-05-20T12:09:30Z,20,12,5,"['i', 'kind', 'of', 'imploded', 'internally', 'when', 'i', 'saw', 'ayushs', 'abs', 'ngl']","['i', 'kind', 'of', 'implod', 'intern', 'when', 'i', 'saw', 'ayush', 'ab', 'ngl']",0.0,0.0,1.0,0.0,0.3,0.45,0.2727272727,0,0,neu
Vilas Kendre,ye ayush mehra neet air 1 lagta hai so talented,0,0,2021-05-20T09:45:21Z,20,9,5,"['ye', 'ayush', 'mehra', 'neet', 'air', '1', 'lagta', 'hai', 'so', 'talented']","['ye', 'ayush', 'mehra', 'neet', 'air', '1', 'lagta', 'hai', 'so', 'talent']",0.6418,0.0,0.654,0.34600000000000003,0.7,0.9,0.4,0,0,neu
Sunil Munde,barkha and ayush cutest pair,28,0,2021-05-15T10:43:16Z,15,10,5,"['barkha', 'and', 'ayush', 'cutest', 'pair']","['barkha', 'and', 'ayush', 'cutest', 'pair']",0.5859,0.0,0.513,0.48700000000000004,0.0,0.0,0.2,0,1,neu
Dikshyas World,ayush are barkha are real couples theyre blushing throughout their scenes,0,0,2021-05-12T21:58:45Z,12,21,5,"['ayush', 'are', 'barkha', 'are', 'real', 'couples', 'theyre', 'blushing', 'throughout', 'their', 'scenes']","['ayush', 'are', 'barkha', 'are', 'real', 'coupl', 'theyr', 'blush', 'throughout', 'their', 'scene']",0.0,0.0,1.0,0.0,0.2,0.3,0.09090909091,0,0,neu
SWAPNIL DHABEKAR,these 2 r my all time fav fav web people barkha nd ayush,0,0,2021-05-11T14:40:16Z,11,14,5,"['these', '2', 'r', 'my', 'all', 'time', 'fav', 'fav', 'web', 'people', 'barkha', 'nd', 'ayush']","['these', '2', 'r', 'my', 'all', 'time', 'fav', 'fav', 'web', 'peopl', 'barkha', 'nd', 'ayush']",0.7184,0.0,0.6,0.4,0.0,0.0,0.3076923077,0,0,neu
Pranita Tamang,you both are lovely ayush and barkha,0,0,2021-05-11T13:43:58Z,11,13,5,"['you', 'both', 'are', 'lovely', 'ayush', 'and', 'barkha']","['you', 'both', 'are', 'love', 'ayush', 'and', 'barkha']",0.5859,0.0,0.612,0.38799999999999996,0.5,0.75,0.42857142859999997,0,0,neu
22 IMRAN KHAN 12 C,i love aayush and barkha but the character of anant leaves a special impression in my heart he is so jolly love to the entire cast loved the sereies,0,0,2021-05-09T09:44:17Z,9,9,5,"['i', 'love', 'aayush', 'and', 'barkha', 'but', 'the', 'character', 'of', 'anant', 'leaves', 'a', 'special', 'impression', 'in', 'my', 'heart', 'he', 'is', 'so', 'jolly', 'love', 'to', 'the', 'entire', 'cast', 'loved', 'the', 'sereies']","['i', 'love', 'aayush', 'and', 'barkha', 'but', 'the', 'charact', 'of', 'anant', 'leav', 'a', 'special', 'impress', 'in', 'my', 'heart', 'he', 'is', 'so', 'jolli', 'love', 'to', 'the', 'entir', 'cast', 'love', 'the', 'serei']",0.9809,0.0,0.451,0.5489999999999999,0.4114285714,0.6392857143,0.5172413793,0,0,pos
I love bcs,ayush is such a great actor,0,0,2021-05-09T09:44:17Z,9,9,5,"['ayush', 'is', 'such', 'a', 'great', 'actor']","['ayush', 'is', 'such', 'a', 'great', 'actor']",0.6249,0.0,0.494,0.506,0.4,0.625,0.8333333333,0,0,pos
sharmistha Saha,ayush is the only the one who dances in his own song,0,0,2021-05-05T06:52:19Z,5,6,5,"['ayush', 'is', 'the', 'only', 'the', 'one', 'who', 'dances', 'in', 'his', 'own', 'song']","['ayush', 'is', 'the', 'onli', 'the', 'one', 'who', 'danc', 'in', 'his', 'own', 'song']",0.0,0.0,1.0,0.0,0.3,1.0,0.4166666667,0,0,neu
Krishna Singh Verma,after mmbs episode ayush guilty,0,0,2021-05-04T17:43:12Z,4,17,5,"['after', 'mmbs', 'episode', 'ayush', 'guilty']","['after', 'mmbs', 'episod', 'ayush', 'guilti']",-0.4215,0.41200000000000003,0.588,0.0,-0.5,1.0,0.4,0,0,neu
Saawari,ayush and venkat operation mbbs,0,0,2021-04-28T10:23:54Z,28,10,4,"['ayush', 'and', 'venkat', 'operation', 'mbbs']","['ayush', 'and', 'venkat', 'oper', 'mbbs']",0.0,0.0,1.0,0.0,0.0,0.0,0.6,0,0,neu
Don don,so like when did ayush get so fit,1,0,2021-04-28T06:57:30Z,28,6,4,"['so', 'like', 'when', 'did', 'ayush', 'get', 'so', 'fit']","['so', 'like', 'when', 'did', 'ayush', 'get', 'so', 'fit']",0.7214,0.0,0.499,0.501,0.4,0.4,0.0,0,1,pos
Spriha Mukherjee,ayush and barkha were amazing i mean it two most wonderful upcoming actors but how many of us actually acknowledged the people who put so much of effort behind this series how many of us actually acknowledged nayana shyam for directing this second season well a huge hug for nayana thanks for making such a beautiful second season and also the whole dice media team,12,0,2021-04-24T10:11:05Z,24,10,4,"['ayush', 'and', 'barkha', 'were', 'amazing', 'i', 'mean', 'it', 'two', 'most', 'wonderful', 'upcoming', 'actors', 'but', 'how', 'many', 'of', 'us', 'actually', 'acknowledged', 'the', 'people', 'who', 'put', 'so', 'much', 'of', 'effort', 'behind', 'this', 'series', 'how', 'many', 'of', 'us', 'actually', 'acknowledged', 'nayana', 'shyam', 'for', 'directing', 'this', 'second', 'season', 'well', 'a', 'huge', 'hug', 'for', 'nayana', 'thanks', 'for', 'making', 'such', 'a', 'beautiful', 'second', 'season', 'and', 'also', 'the', 'whole', 'dice', 'media', 'team']","['ayush', 'and', 'barkha', 'were', 'amaz', 'i', 'mean', 'it', 'two', 'most', 'wonder', 'upcom', 'actor', 'but', 'how', 'mani', 'of', 'us', 'actual', 'acknowledg', 'the', 'peopl', 'who', 'put', 'so', 'much', 'of', 'effort', 'behind', 'this', 'seri', 'how', 'mani', 'of', 'us', 'actual', 'acknowledg', 'nayana', 'shyam', 'for', 'direct', 'this', 'second', 'season', 'well', 'a', 'huge', 'hug', 'for', 'nayana', 'thank', 'for', 'make', 'such', 'a', 'beauti', 'second', 'season', 'and', 'also', 'the', 'whole', 'dice', 'media', 'team']",0.9746,0.0,0.698,0.302,0.2492647059,0.4816176471,0.2,0,1,neu
sanjay thakur,hey he is ayush mehar i saw him in operation mbbs he is too good keep doing bro,0,0,2021-04-21T14:21:49Z,21,14,4,"['hey', 'he', 'is', 'ayush', 'mehar', 'i', 'saw', 'him', 'in', 'operation', 'mbbs', 'he', 'is', 'too', 'good', 'keep', 'doing', 'bro']","['hey', 'he', 'is', 'ayush', 'mehar', 'i', 'saw', 'him', 'in', 'oper', 'mbbs', 'he', 'is', 'too', 'good', 'keep', 'do', 'bro']",0.4404,0.0,0.847,0.153,0.7,0.6,0.22222222219999999,0,0,neu
Mansi,lowkey dumb but why is nobody talking about ayush s abs guyzzzzz come on,0,0,2021-04-20T16:55:39Z,20,16,4,"['lowkey', 'dumb', 'but', 'why', 'is', 'nobody', 'talking', 'about', 'ayush', 's', 'abs', 'guyzzzzz', 'come', 'on']","['lowkey', 'dumb', 'but', 'whi', 'is', 'nobodi', 'talk', 'about', 'ayush', 's', 'ab', 'guyzzzzz', 'come', 'on']",-0.2846,0.152,0.848,0.0,-0.375,0.5,0.5,0,0,neu
