Name,Comment,Likes,Reply_Count,Time,date,hour,month,Tokenize,stemmed,compound,neg,neu,pos,polarity,subjectivity,empath_score,Reply_Class,Like_Class,sentiment_status
Soumik Bera,5 42 when ayush mail s barkha good morning whatsapp be like mai kya kru job chod du phir,0,0,2021-09-12T13:20:21Z,12,13,9,"['5', '42', 'when', 'ayush', 'mail', 's', 'barkha', 'good', 'morning', 'whatsapp', 'be', 'like', 'mai', 'kya', 'kru', 'job', 'chod', 'du', 'phir']","['5', '42', 'when', 'ayush', 'mail', 's', 'barkha', 'good', 'morn', 'whatsapp', 'be', 'like', 'mai', 'kya', 'kru', 'job', 'chod', 'du', 'phir']",0.6597,0.0,0.735,0.265,0.7,0.6,0.6842105262999999,0,0,neu
Adarsh Yadav,i want to see ayush and barkha together a one more time,0,0,2021-09-01T14:54:11Z,1,14,9,"['i', 'want', 'to', 'see', 'ayush', 'and', 'barkha', 'together', 'a', 'one', 'more', 'time']","['i', 'want', 'to', 'see', 'ayush', 'and', 'barkha', 'togeth', 'a', 'one', 'more', 'time']",0.0772,0.0,0.8740000000000001,0.126,0.5,0.5,0.0,0,0,neu
Rachana L,literally barkha and ayush will make a good pair i like all series of them together,1,0,2021-08-24T05:00:37Z,24,5,8,"['literally', 'barkha', 'and', 'ayush', 'will', 'make', 'a', 'good', 'pair', 'i', 'like', 'all', 'series', 'of', 'them', 'together']","['liter', 'barkha', 'and', 'ayush', 'will', 'make', 'a', 'good', 'pair', 'i', 'like', 'all', 'seri', 'of', 'them', 'togeth']",0.6597,0.0,0.69,0.31,0.7,0.6,0.125,0,1,neu
Sejal Chaudhary,barkha and ayush together looking so cute,1,0,2021-08-21T10:16:54Z,21,10,8,"['barkha', 'and', 'ayush', 'together', 'looking', 'so', 'cute']","['barkha', 'and', 'ayush', 'togeth', 'look', 'so', 'cute']",0.5949,0.0,0.608,0.392,0.5,1.0,0.8571428570999999,0,1,neu
CR MOTIONS,here s a teaser of ayush mehra and barkha singh i m sure you re gonna like this atleast give this a viewhttps youtu be xjmqxrpo08m,0,0,2021-08-14T05:39:01Z,14,5,8,"['here', 's', 'a', 'teaser', 'of', 'ayush', 'mehra', 'and', 'barkha', 'singh', 'i', 'm', 'sure', 'you', 're', 'gon', 'na', 'like', 'this', 'atleast', 'give', 'this', 'a', 'viewhttps', 'youtu', 'be', 'xjmqxrpo08m']","['here', 's', 'a', 'teaser', 'of', 'ayush', 'mehra', 'and', 'barkha', 'singh', 'i', 'm', 'sure', 'you', 're', 'gon', 'na', 'like', 'this', 'atleast', 'give', 'this', 'a', 'viewhttp', 'youtu', 'be', 'xjmqxrpo08m']",0.4215,0.081,0.726,0.19399999999999998,0.5,0.8888888889,0.03846153846000001,0,0,neu
Mr 21 YT,when i see barkha i cant control myself to opening the video,0,0,2021-08-13T15:30:15Z,13,15,8,"['when', 'i', 'see', 'barkha', 'i', 'cant', 'control', 'myself', 'to', 'opening', 'the', 'video']","['when', 'i', 'see', 'barkha', 'i', 'cant', 'control', 'myself', 'to', 'open', 'the', 'video']",0.0,0.0,1.0,0.0,0.0,0.0,0.4166666667,0,0,neu
Mahipal Singh,amazing chemistry of barkha and ayush,0,0,2021-07-20T12:30:08Z,20,12,7,"['amazing', 'chemistry', 'of', 'barkha', 'and', 'ayush']","['amaz', 'chemistri', 'of', 'barkha', 'and', 'ayush']",0.5859,0.0,0.568,0.43200000000000005,0.6,0.9,0.5,0,0,neu
mime me,ayush and barkha can be the best couples,0,0,2021-07-11T08:04:23Z,11,8,7,"['ayush', 'and', 'barkha', 'can', 'be', 'the', 'best', 'couples']","['ayush', 'and', 'barkha', 'can', 'be', 'the', 'best', 'coupl']",0.6369,0.0,0.625,0.375,1.0,0.3,0.25,0,0,neu
Bristi Ruj,barkha has nice choice by the way,0,0,2021-07-10T16:53:17Z,10,16,7,"['barkha', 'has', 'nice', 'choice', 'by', 'the', 'way']","['barkha', 'has', 'nice', 'choic', 'by', 'the', 'way']",0.4215,0.0,0.682,0.318,0.6,1.0,0.2857142857,0,0,neu
Manmohan Gupta,barkha s thighs,0,0,2021-07-04T07:33:11Z,4,7,7,"['barkha', 's', 'thighs']","['barkha', 's', 'thigh']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,neu
