Unnamed: 0,Name,Comment,Likes,Reply_Count,Time,date,hour,month,Tokenize,stemmed,compound,neg,neu,pos,polarity,subjectivity,empath_score,Reply_Class,Like_Class,Reply_Class,Like_Class,sentiment_status
0,M Square,what a starting,0,0,2021-09-16T11:19:50Z,16,11,9,"['what', 'a', 'starting']","['what', 'a', 'start']",0.0,0.0,1.0,0.0,0.0,0.1,0.0,0,0,0,0,neu
1,Kushi Jakhotia,all the best for your exam aachese padhna exam ke liye,0,0,2021-09-16T11:19:50Z,16,11,9,"['all', 'the', 'best', 'for', 'your', 'exam', 'aachese', 'padhna', 'exam', 'ke', 'liye']","['all', 'the', 'best', 'for', 'your', 'exam', 'aaches', 'padhna', 'exam', 'ke', 'liy']",0.6369,0.0,0.7040000000000001,0.29600000000000004,1.0,0.3,0.7272727272727273,0,0,0,0,neu
2,Anurag Bhattarai,i am watching this just hours before my exam,0,0,2021-09-16T11:19:11Z,16,11,9,"['i', 'am', 'watching', 'this', 'just', 'hours', 'before', 'my', 'exam']","['i', 'am', 'watch', 'this', 'just', 'hour', 'befor', 'my', 'exam']",0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0,0,0,0,neu
3,Meena Desai,bill was 864 and he paid 684,0,0,2021-09-16T11:19:11Z,16,11,9,"['bill', 'was', '864', 'and', 'he', 'paid', '684']","['bill', 'was', '864', 'and', 'he', 'paid', '684']",0.0,0.0,1.0,0.0,0.0,0.0,1.1428571428571428,0,0,0,0,neu
4,GoSplash,we having exams on 23,0,0,2021-09-16T08:34:14Z,16,8,9,"['we', 'having', 'exams', 'on', '23']","['we', 'have', 'exam', 'on', '23']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,neu
5,Rhythm Shukla,this is highly disrespectful he is abusing hc verma,0,0,2021-09-16T08:34:14Z,16,8,9,"['this', 'is', 'highly', 'disrespectful', 'he', 'is', 'abusing', 'hc', 'verma']","['this', 'is', 'high', 'disrespect', 'he', 'is', 'abus', 'hc', 'verma']",-0.4588,0.273,0.727,0.0,0.16,0.5399999999999999,0.3333333333333333,0,0,0,0,neu
6,Srishty Vatsal,legends are wacthing after 3 years,2,0,2021-09-16T05:25:07Z,16,5,9,"['legends', 'are', 'wacthing', 'after', '3', 'years']","['legend', 'are', 'wacth', 'after', '3', 'year']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,1,neu
7,S Krishnaveni,truely for my chemistry exam i remembered the same song,1,0,2021-09-16T05:25:07Z,16,5,9,"['truely', 'for', 'my', 'chemistry', 'exam', 'i', 'remembered', 'the', 'same', 'song']","['trueli', 'for', 'my', 'chemistri', 'exam', 'i', 'rememb', 'the', 'same', 'song']",0.0,0.0,1.0,0.0,0.175,0.3875,1.0,0,1,0,1,neu
8,Sharayu Bhosale,everything was good till he started cussing hc verma sir he is a legend i m not even from pcm but really his book is reflection of how great teacher he must be,0,1,2021-09-16T03:33:19Z,16,3,9,"['everything', 'was', 'good', 'till', 'he', 'started', 'cussing', 'hc', 'verma', 'sir', 'he', 'is', 'a', 'legend', 'i', 'm', 'not', 'even', 'from', 'pcm', 'but', 'really', 'his', 'book', 'is', 'reflection', 'of', 'how', 'great', 'teacher', 'he', 'must', 'be']","['everyth', 'was', 'good', 'till', 'he', 'start', 'cuss', 'hc', 'verma', 'sir', 'he', 'is', 'a', 'legend', 'i', 'm', 'not', 'even', 'from', 'pcm', 'but', 'realli', 'his', 'book', 'is', 'reflect', 'of', 'how', 'great', 'teacher', 'he', 'must', 'be']",0.8225,0.0,0.787,0.213,0.5666666666666667,0.5166666666666667,0.4242424242424241,1,0,1,0,neu
9,Diya Sangroula,third law of motion,0,0,2021-09-16T03:33:19Z,16,3,9,"['third', 'law', 'of', 'motion']","['third', 'law', 'of', 'motion']",0.0,0.0,1.0,0.0,0.0,0.0,2.5,0,0,0,0,neu
