Unnamed: 0,Name,Comment,Likes,Reply_Count,Time,date,hour,month,Tokenize,stemmed,compound,neg,neu,pos,polarity,subjectivity,empath_score,Reply_Class,Like_Class,sentiment_status
0,FilterCopy,what do you spend your salary on comment below also you can now get your own personal car visit www zapsubscribe com,2951,192,2018-07-06T06:23:53Z,6,6,7,"['what', 'do', 'you', 'spend', 'your', 'salary', 'on', 'comment', 'below', 'also', 'you', 'can', 'now', 'get', 'your', 'own', 'personal', 'car', 'visit', 'www', 'zapsubscribe', 'com']","['what', 'do', 'you', 'spend', 'your', 'salari', 'on', 'comment', 'below', 'also', 'you', 'can', 'now', 'get', 'your', 'own', 'person', 'car', 'visit', 'www', 'zapsubscrib', 'com']",0.0,0.0,1.0,0.0,0.3,0.65,1.1363636363636358,1,1,neu
1,Abhi Borthakur,and here people like us whose salary come with only vest and underwear by mid of the month woh bhi utar jaate hain bandi ko toh 56 200 per month milta hain she is ambani for me,0,0,2018-07-06T06:23:53Z,6,6,7,"['and', 'here', 'people', 'like', 'us', 'whose', 'salary', 'come', 'with', 'only', 'vest', 'and', 'underwear', 'by', 'mid', 'of', 'the', 'month', 'woh', 'bhi', 'utar', 'jaate', 'hain', 'bandi', 'ko', 'toh', '56', '200', 'per', 'month', 'milta', 'hain', 'she', 'is', 'ambani', 'for', 'me']","['and', 'here', 'peopl', 'like', 'us', 'whose', 'salari', 'come', 'with', 'onli', 'vest', 'and', 'underwear', 'by', 'mid', 'of', 'the', 'month', 'woh', 'bhi', 'utar', 'jaat', 'hain', 'bandi', 'ko', 'toh', '56', '200', 'per', 'month', 'milta', 'hain', 'she', 'is', 'ambani', 'for', 'me']",0.3612,0.0,0.935,0.065,0.0,0.5,0.3783783783783784,0,0,neu
2,Soham Waikar,the husband is nothing but salary in men,0,0,2021-09-16T02:57:02Z,16,2,9,"['the', 'husband', 'is', 'nothing', 'but', 'salary', 'in', 'men']","['the', 'husband', 'is', 'noth', 'but', 'salari', 'in', 'men']",0.0,0.0,1.0,0.0,0.0,0.0,1.5,0,0,neu
3,Yuvraj Barve,this was the first video of filtercopy i had seen 3 years ago,0,0,2021-09-16T02:57:02Z,16,2,9,"['this', 'was', 'the', 'first', 'video', 'of', 'filtercopy', 'i', 'had', 'seen', '3', 'years', 'ago']","['this', 'was', 'the', 'first', 'video', 'of', 'filtercopi', 'i', 'had', 'seen', '3', 'year', 'ago']",0.0,0.0,1.0,0.0,0.25,0.3333333333333333,0.2307692307692308,0,0,neu
4,Yecto,this is fantastic work,0,0,2021-09-15T08:18:18Z,15,8,9,"['this', 'is', 'fantastic', 'work']","['this', 'is', 'fantast', 'work']",0.5574,0.0,0.455,0.545,0.4,0.9,0.75,0,0,pos
5,Pavan G,the best content i ve ever seeni loved it filtercopy,1,0,2021-09-15T08:18:18Z,15,8,9,"['the', 'best', 'content', 'i', 've', 'ever', 'seeni', 'loved', 'it', 'filtercopy']","['the', 'best', 'content', 'i', 've', 'ever', 'seeni', 'love', 'it', 'filtercopi']",0.8442,0.0,0.46399999999999997,0.536,0.85,0.55,0.4,0,1,pos
6,Deepak Kamble,this is amazing,0,0,2021-09-15T06:57:05Z,15,6,9,"['this', 'is', 'amazing']","['this', 'is', 'amaz']",0.5859,0.0,0.345,0.655,0.6000000000000001,0.9,0.3333333333333333,0,0,pos
7,Nitin sharma,if it is real then my salary will come only in shorts,0,0,2021-09-15T06:57:05Z,15,6,9,"['if', 'it', 'is', 'real', 'then', 'my', 'salary', 'will', 'come', 'only', 'in', 'shorts']","['if', 'it', 'is', 'real', 'then', 'my', 'salari', 'will', 'come', 'onli', 'in', 'short']",0.0,0.0,1.0,0.0,0.1,0.65,0.9166666666666669,0,0,neu
8,Prajwal Athrey,but right now my salary is getting saved due to wfh lol,0,0,2021-09-15T04:35:35Z,15,4,9,"['but', 'right', 'now', 'my', 'salary', 'is', 'getting', 'saved', 'due', 'to', 'wfh', 'lol']","['but', 'right', 'now', 'my', 'salari', 'is', 'get', 'save', 'due', 'to', 'wfh', 'lol']",0.8126,0.0,0.575,0.425,0.3202380952380953,0.5369047619047619,0.75,0,0,neu
9,Celebrity facts,that was so funny,0,0,2021-09-15T04:35:35Z,15,4,9,"['that', 'was', 'so', 'funny']","['that', 'was', 'so', 'funni']",0.5777,0.0,0.445,0.555,0.25,1.0,0.5,0,0,pos
10,Wow Kids   Babz   Todz,the salary is cute,1,0,2021-09-14T17:46:56Z,14,17,9,"['the', 'salary', 'is', 'cute']","['the', 'salari', 'is', 'cute']",0.4588,0.0,0.5,0.5,0.5,1.0,3.25,0,1,neu
11,VRINDA GUPTA,45000 for doing what partying,0,0,2021-09-14T17:46:56Z,14,17,9,"['45000', 'for', 'doing', 'what', 'partying']","['45000', 'for', 'do', 'what', 'parti']",0.3818,0.0,0.606,0.39399999999999996,0.0,0.0,1.2,0,0,neu
